mode,frequency_GHz,node,real,imag
1,33.75007,2,-2.799944302301244e-11,-1.8727152804249538e-11
0,33.950070000000004,2,-1.4512143058261706e-12,1.4694671981235812e-12
8,37.20008,2,9.760922130653718e-20,-4.6069960294691564e-21
7,37.400079999999996,2,-4.6481646074793225e-22,6.016092723484854e-21
6,37.600080000000005,2,2.772874607180154e-20,-5.491677084890858e-20
5,37.80008,2,-3.1553662951047416e-19,-7.724388955430198e-19
4,38.000080000000004,2,-7.755792293776045e-18,-3.4638438050285692e-18
3,38.20008,2,-6.380001904583004e-17,2.4616189376685995e-17
2,38.40008,2,-1.2698388032003888e-16,3.243068799793758e-16
1,38.600080000000005,2,4.458394527326293e-16,4.988291207226601e-16
0,38.80008,2,-4.194010324011144e-15,-3.6229235338987954e-15
8,42.05009,2,3.6275847205303587e-13,6.471930207251809e-13
7,42.25009,2,-5.370147525571528e-15,3.6815979439639957e-14
6,42.45009,2,-2.1025975539711438e-13,-2.5674556965880203e-14
5,42.650090000000006,2,2.9175639484550984e-13,-1.7452659950187687e-13
4,42.85009,2,-1.3881114144186256e-13,3.376780993211643e-13
3,43.050090000000004,2,-6.046970472640229e-14,-2.4775575195483445e-13
2,43.25009,2,7.555774039807761e-14,6.76660598280779e-14
1,43.45009,2,-1.246049599201244e-14,-4.168158799301493e-15
8,46.900099999999995,2,2.5889532146055238e-20,-3.245024891766912e-21
7,47.1001,2,3.718192594723385e-19,-4.852502670397056e-19
6,47.30010000000001,2,-1.1508402035216639e-18,-1.060711524994844e-17
5,47.500099999999996,2,-1.2783234925562895e-16,-1.1070371345714116e-16
4,47.700100000000006,2,-2.3094474807994097e-15,1.0237704807691622e-16
3,47.9001,2,-1.7566991117438853e-14,1.8554343392350193e-14
2,48.100100000000005,2,6.237244103183003e-15,1.91893206429872e-13
8,51.75011,2,1.575844297223113e-12,9.333582884186753e-13
7,51.950109999999995,2,-9.690513423615038e-14,1.181489430880242e-14
6,52.15011,2,2.391286773634709e-15,-2.6791176745473915e-15
5,52.350109999999994,2,3.745796581544527e-16,-4.941491633587961e-16
4,52.550110000000004,2,4.100940458237543e-17,5.619081132155484e-16
3,52.75011000000001,2,-1.7268013140051343e-16,-2.1091473975990734e-16
8,56.60012,2,1.512684130444663e-18,-1.2860669341625282e-18
7,56.80012,2,6.83077623966739e-18,-5.197386320200931e-17
